	pathway	pathwayId	id	name	symbol	chembl_id	mechanism_of_action	action_type
4	Signaling by PDGF	R-HSA-186797	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
5	RAF/MAP kinase cascade	R-HSA-5673001	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
6	PIP3 activates AKT signaling	R-HSA-1257604	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
7	Downstream signal transduction	R-HSA-186763	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
8	Regorafenib-resistant PDGFR mutants	R-HSA-9674403	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
9	Sorafenib-resistant PDGFR mutants	R-HSA-9674404	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
10	Signaling by PDGFRA extracellular domain mutants	R-HSA-9673770	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
11	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	R-HSA-9673767	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
12	PDGFR mutants bind TKIs	R-HSA-9674428	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
0	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	R-HSA-6811558	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
1	Constitutive Signaling by Aberrant PI3K in Cancer	R-HSA-2219530	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
2	Signaling by PDGF	R-HSA-186797	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
3	PIP3 activates AKT signaling	R-HSA-1257604	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
4	RAF/MAP kinase cascade	R-HSA-5673001	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
5	Downstream signal transduction	R-HSA-186763	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
0	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	R-HSA-6811558	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
1	Sunitinib-resistant PDGFR mutants	R-HSA-9674401	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
2	Constitutive Signaling by Aberrant PI3K in Cancer	R-HSA-2219530	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
3	Imatinib-resistant PDGFR mutants	R-HSA-9674396	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
4	Signaling by PDGF	R-HSA-186797	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
5	RAF/MAP kinase cascade	R-HSA-5673001	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
6	PIP3 activates AKT signaling	R-HSA-1257604	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
7	Downstream signal transduction	R-HSA-186763	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
8	Regorafenib-resistant PDGFR mutants	R-HSA-9674403	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
9	Sorafenib-resistant PDGFR mutants	R-HSA-9674404	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
10	Signaling by PDGFRA extracellular domain mutants	R-HSA-9673770	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
11	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	R-HSA-9673767	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
12	PDGFR mutants bind TKIs	R-HSA-9674428	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL3039504	Platelet-derived growth factor receptor inhibitor	INHIBITOR
0	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	R-HSA-6811558	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
1	Constitutive Signaling by Aberrant PI3K in Cancer	R-HSA-2219530	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
2	Signaling by PDGF	R-HSA-186797	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
3	PIP3 activates AKT signaling	R-HSA-1257604	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
4	RAF/MAP kinase cascade	R-HSA-5673001	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
5	Downstream signal transduction	R-HSA-186763	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
0	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	R-HSA-6811558	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
1	Sunitinib-resistant PDGFR mutants	R-HSA-9674401	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
2	Constitutive Signaling by Aberrant PI3K in Cancer	R-HSA-2219530	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
3	Imatinib-resistant PDGFR mutants	R-HSA-9674396	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
4	Signaling by PDGF	R-HSA-186797	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
5	RAF/MAP kinase cascade	R-HSA-5673001	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
6	PIP3 activates AKT signaling	R-HSA-1257604	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
7	Downstream signal transduction	R-HSA-186763	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
8	Regorafenib-resistant PDGFR mutants	R-HSA-9674403	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
9	Sorafenib-resistant PDGFR mutants	R-HSA-9674404	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
10	Signaling by PDGFRA extracellular domain mutants	R-HSA-9673770	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
11	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	R-HSA-9673767	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
12	PDGFR mutants bind TKIs	R-HSA-9674428	ENSG00000134853	platelet derived growth factor receptor alpha	PDGFRA	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
0	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	R-HSA-6811558	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
1	Constitutive Signaling by Aberrant PI3K in Cancer	R-HSA-2219530	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
2	Signaling by PDGF	R-HSA-186797	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
3	PIP3 activates AKT signaling	R-HSA-1257604	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
4	RAF/MAP kinase cascade	R-HSA-5673001	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
5	Downstream signal transduction	R-HSA-186763	ENSG00000113721	platelet derived growth factor receptor beta	PDGFRB	CHEMBL502835	Platelet-derived growth factor receptor inhibitor	INHIBITOR
